navn;fra;til;ut;hjem
# Alternativ A - Gdansk, hele avreisevinduet, 7 netter (juni 2027)
Gdansk 4. juni;KTT;GDN;2027-06-04;2027-06-11
Gdansk 5. juni;KTT;GDN;2027-06-05;2027-06-12
Gdansk 6. juni;KTT;GDN;2027-06-06;2027-06-13
Gdansk 7. juni;KTT;GDN;2027-06-07;2027-06-14
Gdansk 8. juni;KTT;GDN;2027-06-08;2027-06-15
Gdansk 9. juni;KTT;GDN;2027-06-09;2027-06-16
Gdansk 10. juni;KTT;GDN;2027-06-10;2027-06-17
# Alternativ B - Kreta, samme vindu
Heraklion 4. juni;KTT;HER;2027-06-04;2027-06-11
Heraklion 5. juni;KTT;HER;2027-06-05;2027-06-12
Heraklion 6. juni;KTT;HER;2027-06-06;2027-06-13
Heraklion 7. juni;KTT;HER;2027-06-07;2027-06-14
Heraklion 8. juni;KTT;HER;2027-06-08;2027-06-15
Heraklion 9. juni;KTT;HER;2027-06-09;2027-06-16
Heraklion 10. juni;KTT;HER;2027-06-10;2027-06-17
# Sammenligning - avreise fra Alta i stedet
Gdansk fra Alta 4. juni;ALF;GDN;2027-06-04;2027-06-11
Heraklion fra Alta 4. juni;ALF;HER;2027-06-04;2027-06-11
# Seks netter i stedet for sju, for innstramming av Kreta-budsjettet
Heraklion 4. juni, 6 netter;KTT;HER;2027-06-04;2027-06-10
# Andre kandidater vi kan vurdere senere
Riga 4. juni;KTT;RIX;2027-06-04;2027-06-11
Vilnius 4. juni;KTT;VNO;2027-06-04;2027-06-11
Split 4. juni;KTT;SPU;2027-06-04;2027-06-11
Malta 4. juni;KTT;MLA;2027-06-04;2027-06-11
